Title,Grant Amount,Grant Term Start,Grant Term End,Description,Initiative,Grant Status,Grantee Address
Center for Effective Philanthropy 2022,200000.0,2022-10-01,2024-09-30,"In general support of its mission to provide data and create insight so philanthropic funders can better define, assess and improve their effectiveness and impact.",Strategic Opportunities Fund,Unknown,"675 Massachusetts Avenue, 7th Floor, Cambridge, MA 02139, United States of America"
Seed to Growth Foundation 2022,3208790.0,2022-10-01,2025-12-31,in support of seeding and formalizing the Fortified Wholegrain Alliance with an immediate focus on sub-Saharan Africa but with the ultimate goal of improving diets in underserved communities globally through increased consumption of fortified wholegrain foods,Food Initiative,Unknown,"8 The Green STE B, #12064 , Dover, Delaware, 19901, Dover, DE 19901, United States of America"
Center for Taxpayers Rights 2022,300000.0,2022-10-01,2024-12-31,in general support of its mission to further the understanding of and access to taxpayer rights in the U.S. and internationally,U.S. Economic Opportunity,Unknown,"P.O. Box 71278, Washington, DC 20024, United States of America"
National Public Radio 2022,500000.0,2022-10-01,2024-06-30,"toward the costs of building reporting capacity for covering energy, environmental and climate change news in order to improve public knowledge and understanding, provide public accountability and help communities take action to protect the planet",CPA Central Office,Unknown,"1111 North Capitol Street NE, Washington, DC 20002, United States of America"
The/Nudge Foundation 2022,200000.0,2022-10-01,2023-09-30,in support of identifying climate resilient and adaptive agricultural practices from grassroots communities in India,Asia Regional Office,Unknown,"1227, Willowdale Lane, Irving, TX 75063, United States of America"
Solutions Journalism Network 2022,500000.0,2022-10-01,2023-09-30,"in support of producing climate change solution stories, to highlight solution knowledge that can be used to inform, activate, and mobilize communities in driving local climate innovations.",Convenings & Networks,Unknown,"115 E. 34th Street, #1806, New York, NY 10156, United States of America"
United Nations Foundation 2022,300000.0,2022-09-01,2023-08-31,towards the cost of implementing a system-wide review of all UN entities to advance gender equality and women’s rights more effectively,Strategic Opportunities Fund,Unknown,"1750 Pennsylvania Avenue, NW, Suite 300, Washington, DC 20006, United States of America"
Seed to Growth Foundation 2022,715040.0,2022-09-01,2025-09-30,towards the operationalization of CAP-F in Kenya to strengthen private sector engagement and investment in the Kenyan agriculture sector to improve the lives of smallholder farmers.,Africa Regional Office,Unknown,"8 The Green STE B, #12064 , Dover, Delaware, 19901, Dover, DE 19901, United States of America"
Center for Global Development 2022,502642.0,2022-09-01,2024-02-29,in support of building financing for enhanced pandemic preparedness and response through the creation of a new global fund,Global Economic Recovery,Unknown,"2055 L Street NW, Fifth Floor, Washington, DC 20036, United States of America"
Bioversity International 2022,699980.0,2022-09-01,2024-12-31,toward the costs of a multi-faceted research project to understand how indigenous peoples and their agroecology and regenerative practices can help to solve the global food systems crisis,Food Initiative,Unknown,"Via di S. Domenico 1, Roma,  00153, Italy"
United Nations Foundation 2022,450000.0,2022-09-01,2023-06-30,"for use by its Co-Develop Fund in support of launching a collaborative funding mechanism to build ""good"", inclusive digital public infrastructure in order to reduce global inequality",Connected Leaders,Unknown,"1750 Pennsylvania Avenue, NW, Suite 300, Washington, DC 20006, United States of America"
Deep Medicine Circle 2022,750000.0,2022-09-01,2024-08-31,"in support of Food is Medicine, an effort to advance an equitable food system for Indigenous people globally through the sharing of traditional ecological knowledge and regenerative agricultural practices ",Food Initiative,Unknown,"1570 La Honda Rd, San Gregorio, CA 94074, United States of America"
Panorama Global 2022,745000.0,2022-09-01,2023-08-31,"in support of its project, the Pandemic Action Network, to strengthen pandemic preparedness through increased financing and new governance measures, including the creation of a new global fund",Global Economic Recovery,Unknown,"2101 4th Avenue, Suite 2100, Seattle, WA 98121, United States of America"
Purpose Campaigns LLC 2022,250000.0,2022-09-01,2022-11-30,in support of the “United Nations Emergency Response Communications Response Program for Ukraine” to combat disinformation about the war in Ukraine and drive global support for communities impacted by it,Strategic Opportunities Fund,Unknown,"244 Fifth Avenue, Suite P203, New York, NY 10001, United States of America"
Smallholder Data Services 2022,240375.0,2022-09-01,2023-09-30,"in support of research and development of a pilot mobile application that enables smallholder farmers to track their organic and regenerative practices to improve adaptive landscape management, improving farming outputs and market access in Thailand, Haiti, Ecuador and  the Dominican Republic.",Food Initiative,Unknown,"1998 Commerce Street,, Suite #14, Yorktown Heights, NY 10598, United States of America"
University College London 2022,135151.0,2022-09-01,2024-07-31,in support of the creation of a toolkit to guide philanthropic organizations through the process of identifying and addressing reparation of past harms within the private philanthropy community,Convenings & Networks,Unknown,"Gower Street, London,  WC1E 6BT, England"
Community of Evaluators &#8211; South Asia 2022,20000.0,2022-09-01,2022-12-31,"in support of building evaluation capacity in South Asia through the 2022 Evaluation Conclave, a gathering of evaluators to be held in October 2022",Asia Regional Office,Unknown,"No. 268, Ground Floor, Anarkali Complex, Jhandewalan Extension, New Delhi,  110055, India"
Center for Strategic and International Studies 2022,150000.0,2022-09-01,2023-03-31, in support of research on state-level energy transition in India,Power and Climate,Unknown,"1616 Rhode Island Avenue, NW, Washington, DC 20036, United States of America"
European University Institute 2022,1000000.0,2022-09-01,2024-08-31,"for use by its Florence School of Regulation toward the costs of creating the African School of Regulation (ASR), a new school to develop, teach and disseminate sound energy regulation and policy in Africa ",Power and Climate,Unknown,"Via dei Roccenttini, 9, San Domenico di Fiesole,  50014, Italy"
Dalberg Catalyst 2022,549894.0,2022-09-01,2024-04-30,"for use by the Climate Action Platform for Africa, in support of building an evidence base of regenerative agricultural practices that improve climate and profitability impacts for smallholder farmers in Africa",Food Initiative,Unknown,"1401 K Street NW, #900, Washington, DC 20005, United States of America"
Jerusalem Institute for Policy Research 2022,200000.0,2022-09-01,2023-10-31,"toward the costs of selecting, training, and deploying four fellows to design and implement priority development projects in developing economies based on conditions, needs, and sustainable development goals. ",Convenings & Networks,Unknown,"20 Radak Street, Jerusalem,  9218604, Israel"
Alliance for a Green Revolution in Africa 2022,4000000.0,2022-09-01,2025-08-31,towards the cost of supporting smallholder farmers to produce biofortified crops in Africa to increase the availability and accessibility of nutritious and safe food for key institutional markets particularly school feeding programs.,Food Initiative,Unknown,"P.O. Box 66773, Westlands, 00800, Nairobi,, Kenya"
Harvard University 2022,314000.0,2022-09-01,2024-08-31,"for use by its Center for Health Law and Policy Innovation in support of conducting legal and policy research, developing educational resources, and providing technical assistance related to nutrition interventions to support the implementation of food is medicine policy.",Food Initiative,Unknown,"1350 Massachusetts Avenue, Massachusetts Hall, Cambridge, MA 02138, United States of America"
Women&#8217;s Reproductive Rights Assistance Project 2022,150000.0,2022-08-01,2023-07-31,"in general support of its mission to ensure that all women of all ages, genders, ethnicities and cultural backgrounds have access to safe, legal abortion care and emergency contraception",Strategic Opportunities Fund,Unknown,"2633 Lincoln Boulevard, Suite 338, Los Angeles, CA 90405, United States of America"
Abortion Care Network 2022,150000.0,2022-08-01,2023-07-31,in general support of its mission to support independent abortion care providers in offering the most exceptional care possible,Strategic Opportunities Fund,Unknown,"1300 I Street NW, Suite 400 E, Washington, DC 20005, United States of America"
Make the Road New York 2022,150000.0,2022-08-01,2023-07-31,"toward the costs of the Immigrant New York Covid Recovery Project to assist low-income immigrant communities to access healthcare, benefits, and affordable housing",Strategic Opportunities Fund,Unknown,"301 Grove Street, Brooklyn, NY 11237, United States of America"
World Economic Forum 2022,250000.0,2022-08-01,2024-05-31,in support of launching a program to develop the enabling environment for labelled bonds in emerging and developing economies,Strategic Opportunities Fund,Unknown,"91-93 Route de la Capite, Cologny, Geneva,  CH-1223, Switzerland"
